author_pages;name;country
https://www.goodreads.com/author/show/64456.Antonio_Tabucchi;Antonio Tabucchi;Italy
https://www.goodreads.com/author/show/296560.Olga_Tokarczuk;Olga Tokarczuk;Poland
https://www.goodreads.com/author/show/17772202.Agustina_Bazterrica;Agustina Bazterrica;Argentina
https://www.goodreads.com/author/show/5780686.Liu_Cixin;Liu Cixin;China
https://www.goodreads.com/author/show/6571447.Hanya_Yanagihara;Hanya Yanagihara;USA
https://www.goodreads.com/author/show/16820001.R_F_Kuang;R.F. Kuang;USA
https://www.goodreads.com/author/show/2093764.Eleanor_Catton;Eleanor Catton;New Zealand
https://www.goodreads.com/author/show/749461.G_nter_Grass;Gunter Grass;Germany
https://www.goodreads.com/author/show/176372.Madeline_Miller;Madeline Miller;USA
https://www.goodreads.com/author/show/283238.Helene_Tursten;Helene Tursten;Sweden
https://www.goodreads.com/author/show/16944266.Akwaeke_Emezi;Akwaeke Emezi;Nigeria
https://www.goodreads.com/author/show/118226.Naomi_Alderman;Naomi Alderman;UK
https://www.goodreads.com/author/show/21927328.Patrick_Bringley;Patrick Bringley;USA
https://www.goodreads.com/author/show/7215049.Isak_Dinesen;Isak Dinesen;Denmark
https://www.goodreads.com/author/show/88655.Sergei_Dovlatov;Sergei Dovlatov;Russia
https://www.goodreads.com/author/show/4280.Kazuo_Ishiguro;Kazuo Ishiguro;UK
https://www.goodreads.com/author/show/88420.Andrey_Kurkov;Andrey Kurkov;Ukraine
https://www.goodreads.com/author/show/29535.Octavia_E_Butler;Octavia E. Butler;USA
https://www.goodreads.com/author/show/11466.Markus_Zusak;Markus Zusak;Australia
https://www.goodreads.com/author/show/87694.Jens_Peter_Jacobsen;Jens Peter Jacobsen;Denmark
https://www.goodreads.com/author/show/498072.Audrey_Niffenegger;Audrey Niffenegger;USA
https://www.goodreads.com/author/show/5511353.Keiichir_Hirano;Keiichiro Hirano;Japan
https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel;Emily St. John Mandel;Canada
https://www.goodreads.com/author/show/3020048.Karl_Ove_Knausg_rd;Karl Ove Knausgaard;Norway
https://www.goodreads.com/author/show/15860970.Sally_Rooney;Sally Rooney;Ireland
https://www.goodreads.com/author/show/19347143.Asha_Lemmie;Asha Lemmie;USA
https://www.goodreads.com/author/show/7757102._douard_Louis;Edouard Louis;France
https://www.goodreads.com/author/show/1730.Umberto_Eco;Umberto Eco;Italy
https://www.goodreads.com/author/show/5152.Vladimir_Nabokov;Vladimir Nabokov;Russia
https://www.goodreads.com/author/show/4119155.Han_Kang;Han Kang;South Korea
https://www.goodreads.com/author/show/1545124.Johannes_V_Jensen;Johannes V. Jensen;Denmark
https://www.goodreads.com/author/show/3354.Haruki_Murakami;Haruki Murakami;Japan
https://www.goodreads.com/author/show/130698.Ted_Chiang;Ted Chiang;USA
https://www.goodreads.com/author/show/40561.Ray_Loriga;Ray Loriga;Spain
https://www.goodreads.com/author/show/539149.Henrik_Pontoppidan;Henrik Pontoppidan;Denmark
https://www.goodreads.com/author/show/7023543.Hank_Green;Hank Green;USA
https://www.goodreads.com/author/show/233.Don_DeLillo;Don DeLillo;USA
https://www.goodreads.com/author/show/1042875.Teju_Cole;Teju Cole;Nigeria
https://www.goodreads.com/author/show/33.Edward_P_Jones;Edward P. Jones;USA
https://www.goodreads.com/author/show/46051.Rachel_Cusk;Rachel Cusk;UK
https://www.goodreads.com/author/show/86098.Clarice_Lispector;Clarice Lispector;Brazil
https://www.goodreads.com/author/show/6485178.Fredrik_Backman;Fredrik Backman;Sweden
https://www.goodreads.com/author/show/3535.William_Faulkner;William Faulkner;USA
https://www.goodreads.com/author/show/9399.Jeanette_Winterson;Jeanette Winterson;UK
https://www.goodreads.com/author/show/5989255.Anthony_Marra;Anthony Marra;USA
https://www.goodreads.com/author/show/4823030.Hiro_Arikawa;Hiro Arikawa;Japan
https://www.goodreads.com/author/show/33919.Jeff_VanderMeer;Jeff VanderMeer;USA
https://www.goodreads.com/author/show/5175738.Emmy_Abrahamson;Emmy Abrahamson;Sweden
https://www.goodreads.com/author/show/1406384.John_Green;John Green;USA
https://www.goodreads.com/author/show/8431418.Pajtim_Statovci;Pajtim Statovci;Finland
https://www.goodreads.com/author/show/15049422.Angie_Thomas;Angie Thomas;USA
https://www.goodreads.com/author/show/1064072.T_Coraghessan_Boyle;T. Coraghessan Boyle;USA
https://www.goodreads.com/author/show/24892.Andrew_Sean_Greer;Andrew Sean Greer;USA
https://www.goodreads.com/author/show/14080.Colum_McCann;Colum McCann;Ireland
https://www.goodreads.com/author/show/1285555.Jos_Saramago;Jose Saramago;Portugal
https://www.goodreads.com/author/show/164139.Rachel_Kushner;Rachel Kushner;USA
https://www.goodreads.com/author/show/14558709.Gail_Honeyman;Gail Honeyman;UK
https://www.goodreads.com/author/show/6463605.Kristopher_Jansma;Kristopher Jansma;USA
https://www.goodreads.com/author/show/8359.Miriam_Toews;Miriam Toews;Canada
https://www.goodreads.com/author/show/6538289.David_Mitchell;David Mitchell;UK
https://www.goodreads.com/author/show/44085.Elena_Ferrante;Elena Ferrante;Italy
https://www.goodreads.com/author/show/30757.Tom_McCarthy;Tom McCarthy;UK
https://www.goodreads.com/author/show/2578.Jonathan_Franzen;Jonathan Franzen;USA
https://www.goodreads.com/author/show/416300.Tom_Hanks;Tom Hanks;USA
https://www.goodreads.com/author/show/53185.Dara_Horn;Dara Horn;USA
https://www.goodreads.com/author/show/3506.Carson_McCullers;Carson McCullers;USA
https://www.goodreads.com/author/show/6572575.Amanda_Lindhout;Amanda Lindhout;Canada
https://www.goodreads.com/author/show/2331.Mitch_Albom;Mitch Albom;USA
https://www.goodreads.com/author/show/38457.Julia_Navarro;Julia Navarro;Spain
https://www.goodreads.com/author/show/437652.Chris_Pavone;Chris Pavone;USA
https://www.goodreads.com/author/show/3534.Toni_Morrison;Toni Morrison;USA
https://www.goodreads.com/author/show/10029.Colson_Whitehead;Colson Whitehead;USA
https://www.goodreads.com/author/show/3371.Dave_Eggers;Dave Eggers;USA
https://www.goodreads.com/author/show/1278320.Shari_Lapena;Shari Lapena;Canada
https://www.goodreads.com/author/show/2617.Jonathan_Safran_Foer;Jonathan Safran Foer;USA
https://www.goodreads.com/author/show/51229.John_Williams;John Williams;USA
https://www.goodreads.com/author/show/54493.Kristin_Hannah;Kristin Hannah;USA
https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri;Jhumpa Lahiri;UK
https://www.goodreads.com/author/show/566.Paulo_Coelho;Paulo Coelho;Brazil
https://www.goodreads.com/author/show/40398.Arturo_P_rez_Reverte;Arturo Perez-Reverte;Spain
https://www.goodreads.com/author/show/19992417.Chimamanda_Ngozi_Adichie;Chimamanda Ngozi Adichie;Nigeria
https://www.goodreads.com/author/show/3873.Mikhail_Bulgakov;Mikhail Bulgakov;Russia
https://www.goodreads.com/author/show/7273667.Nadia_Hashimi;Nadia Hashimi;USA
https://www.goodreads.com/author/show/3389.Stephen_King;Stephen King;USA
https://www.goodreads.com/author/show/1235.Jon_Krakauer;Jon Krakauer;USA
https://www.goodreads.com/author/show/1555180.Jakob_Ejersbo;Jakob Ejersbo;Denmark
https://www.goodreads.com/author/show/1588088.Maria_Semple;Maria Semple;USA
https://www.goodreads.com/author/show/7565.William_Styron;William Styron;USA
https://www.goodreads.com/author/show/7116.Cecelia_Ahern;Cecelia Ahern;Ireland
https://www.goodreads.com/author/show/211631.Erlend_Loe;Erlend Loe;Norway
https://www.goodreads.com/author/show/4371731.Paul_Harding;Paul Harding;USA
https://www.goodreads.com/author/show/28186.Anthony_Doerr;Anthony Doerr;USA
https://www.goodreads.com/author/show/3487.Aldous_Huxley;Aldous Huxley;UK
https://www.goodreads.com/author/show/2383.Gillian_Flynn;Gillian Flynn;USA
